hi	hai
please pay at the register	silakan membayar di kasir
please read the text below	silakan baca tulisan di bawah ini
please take off your shoes	tolong lepas sepatu anda
please turn off the lights	tolong matikan lampunya
please turn off the lights	tolong matikan lampu lampunya
please write with a pencil	tolong tulis menggunakan pensil
probably he will come soon	kemungkinan dia akan segera datang
put in a little more sugar	tambahkan sedikit gula
she bought a loaf of bread	dia membeli sepotong roti
she came close to drowning	dia hampir mati tenggelam
she doesn t shave her legs	dia tidak mencukur bulu kakinya
she drives an imported car	ia mengendarai mobil impor
she forced him to sit down	dia memaksanya untuk duduk
she has a dog and six cats	dia punya seekor anjing dan enam ekor kucing
she has a dog and six cats	dia memiliki seekor anjing dan enam ekor kucing
she has long arms and legs	dia memiliki lengan dan kaki yang panjang
she is playing with a doll	dia bermain dengan boneka
she plays tennis every day	dia bermain tenis setiap hari
she says she likes flowers	dia bilang dia suka bunga
she speaks relatively fast	dia bicara lumayan cepat
she speaks relatively fast	dia bicara relatif cepat
she spoke to me in spanish	dia berbicara kepadaku dalam bahasa spanyol
she took care of his wound	ia merawat lukanya
she was invited to a party	dia telah diundang untuk sebuah pesta
she went there last summer	dia pergi ke sana musim panas lalu
so what are you suggesting	jadi kau menyarankan apa
something s not right here	ada sesuatu yang ga bener nih
stay away from tom s house	jauhi rumah tom
suicide is a desperate act	bunuh diri adalah tindakan nekat
take the road on the right	ambil jalan di sebelah kanan
tell tom mary s on the way	beri tahu tom bahwa mary sedang dalam perjalanan
thank you for your honesty	terima kasih atas kejujuran anda
that doesn t apply anymore	itu tidak berlaku lagi
that isn t going to happen	itu tidak akan terjadi
that s a marker not a pen	itu spidol bukan pena
that s all tom talks about	itulah yang dibicarakan oleh tom
that s much more important	itu jauh lebih penting
that s not going to happen	itu tidak akan terjadi
that s your responsibility	itu tanggung jawabmu
that s your responsibility	itu tanggung jawab anda
the air felt a little cold	udaranya terasa agak dingin
the archer killed the deer	pemanah itu membunuh rusanya
the cat slept on the table	kucing itu tidur di atas meja
the chicken is undercooked	ayamnya masih belum matang
the fountain is over there	air mancurnya ada di sebelah sana
the job is almost finished	pekerjaannya hampir selesai
the kitten is taking a nap	anak kucing itu sedang tidur
the meeting started at ten	rapatnya dimulai pada pukul sepuluh
the meeting was last month	rapat itu dilaksanakan sebulan yang lalu
the painting won t be sold	lukisan itu tidak akan dijual
the prisoners are escaping	tahanannya kabur
the rain changed into snow	hujannya berubah menjadi salju
the rain continued all day	hujannya berlanjut hingga sehari penuh
the rich have many friends	orang kaya mempunyai banyak teman
the world is a crazy place	dunia adalah tempat yang gila
the worst is probably over	mungkin yang terburuk sudah berakhir
there s nothing in the box	tidak ada apa apa di dalam kotak
these gloves belong to tom	sarung tangan ini milik tom
they asked after my father	mereka menanyakan ayah saya
they got caught red handed	mereka tertangkap basah
they just want to have fun	mereka hanya ingin bersenang senang
this aroused her suspicion	hal ini membuatnya merasa curiga
this bed isn t comfortable	tempat tidur ini tidak nyaman
this book deals with china	buku ini berkaitan dengan cina
this book is worth reading	buku ini layak dibaca
this dictionary is no good	kamus ini tidak bagus
this game is really boring	permainan ini benar benar membosankan
this game is really boring	permainan ini sungguh membosankan
this is a book about stars	ini adalah buku tentang bintang
this is never going to end	hal ini tidak akan pernah berakhir
this is never going to end	ini tidak akan pernah berakhir
this man is very very old	pria ini benar benar sangat tua
this painting is a forgery	lukisan ini palsu
this piano is really cheap	piano ini sangat murah
this quilt can t be washed	selimut ini tidak bisa dicuci
this room isn t very large	kamar ini tidak terlalu besar
this song is easy to learn	lagu ini mudah dipelajari
this story is really scary	cerita ini benar benar menakutkan
those people are dangerous	orang orang itu berbahaya
those sunglasses are tom s	kacamata hitam itu punya tom
tom accepted the challenge	tom menerima tantangan itu
tom and i aren t strangers	tom dan aku bukan orang asing
tom and mary are here too	tom dan mary juga ada di sini
tom and mary are outsiders	tom dan mary adalah orang luar
tom and mary played hockey	tom dan mary bermain hoki
tom became a famous singer	tom menjadi penyanyi terkenal
tom can t make up his mind	tom tidak dapat memutuskannya
tom didn t plan on waiting	tom tidak berencana untuk menunggu
tom doesn t have an office	tom tidak punya kantor
tom doesn t like anchovies	tom tidak suka ikan teri
tom doesn t like to travel	tom tidak suka jalan jalan
tom followed us everywhere	tom mengikuti kami ke mana mana
tom goes to school on foot	tom ke sekolah dengan berjalan kaki
tom had a normal childhood	tom memiliki masa kecil yang normal
tom has confidence in mary	tom percaya pada mary
tom has low blood pressure	tom memiliki tekanan darah rendah
tom is a man you can trust	tom laki laki yang bisa kamu percaya
tom is a self educated man	tom adalah seorang otodidak
tom is bleeding internally	tom mengalami pendarahan dalam
tom is folding his clothes	tom sedang melipat pakaiannya
tom is impatient isn t he	tom tidak sabaran ya
tom is itching for a fight	tom sudah tidak tahan ingin berkelahi
tom is sleeping in his car	tom sedang tidur di dalam mobilnya
tom is the one responsible	tom lah yang bertanggung jawab
tom is three years old now	tom saat ini berusia tiga tahun
tom is trying not to laugh	tom sedang berusaha untuk tidak tertawa
tom is willing to help you	tom bersedia membantumu
tom isn t playing football	tom tidak sedang bermain sepak bola
tom keeps bringing that up	tom terus mengungkit ungkit hal itu
tom kicked mary repeatedly	tom menendang mary berkali kali
tom kissed me on the mouth	tom mencumbuku
tom lives across the river	tom tinggal di seberang sungai
tom lives near the airport	tom tinggal di dekat bandara
tom looks busy doesn t he	bukankah tom terlihat sibuk
tom looks proud of his son	tom terlihat bangga dengan anaknya
tom might be seriously ill	tom mungkin sedang sakit berat
tom no longer has to worry	tom tidak perlu lagi khawatir
tom now lives with his dad	tom sekarang tinggal dengan ayahnya
tom only eats organic food	tom hanya makan makanan organik
tom played a trick on mary	tom menipu mary
tom probably can t do that	tom mungkin tidak bisa melakukannya
tom promised me he d do it	tom berjanji padaku bahwa dia akan melakukannya
tom rushed into the office	tom bergegas menuju kantor
tom saw blood on the floor	tom melihat darah di lantai
tom seemed to be surprised	tom terlihat terkejut
tom shot mary with a rifle	tom menembak mary dengan senapan
tom speaks relatively fast	tom bicaranya relatif cepat
tom stood in front of mary	tom berdiri di depan mary
tom tripped on a tree root	tom tersandung akar pohon
tom walked along the shore	tom berjalan di sepanjang tepi pantai
tom was condemned to death	tom dijatuhi hukuman mati
tom was in the car as well	tom berada di dalam mobil juga
tom was sentenced to death	tom dijatuhi hukuman mati
tom was working last night	tom bekerja semalam
tom will go there tomorrow	tom akan pergi ke sana besok
tom won t like that answer	tom tidak akan menyukai jawaban itu
tom would like some coffee	tom ingin kopi
tom s hair has turned gray	rambut tom sudah memutih
tomorrow i ll quit smoking	besok saya akan berhenti merokok
turn off the light please	tolong matikan lampunya
turn the radio up a little	besarkan volume radionya sedikit
wait here till i come back	tunggulah di sini hingga aku kembali
was there an investigation	apakah pernah ada penyelidikan
we are about to leave here	kami baru saja akan pergi meninggalkan tempat ini
we both have the same name	kita berdua punya nama yang sama
we both have the same name	kami berdua punya nama yang sama
we can t compete with asia	kita tidak bisa berkompetisi dengan asia
we can t trust tom anymore	kita tidak bisa memercayai tom lagi
we don t care what he does	kami tidak peduli dengan apa yang dia perbuat
we don t know where we are	kami tidak tahu di mana kami berada
we have breakfast at seven	kami sarapan pada pukul tujuh
we have only three options	kita hanya punya tiga pilihan
we make decisions together	kami membuat keputusan bersama
we must always do our best	kita harus selalu melakukan yang terbaik
we played soccer yesterday	kami bermain sepak bola kemarin
we should cancel our party	kita harus membatalkan pesta kita
we should obey our parents	kita harus mematuhi kedua orang tua kita
we shouldn t have told tom	harusnya kita tidak memberi tahu tom
we studied french together	kita belajar bahasa prancis bersama
we study english every day	kami belajar bahasa inggris setiap hari
we study english every day	kita belajar bahasa inggris setiap hari
we think tom will be ready	kami pikir tom akan siap
we ll have to do something	kita harus melakukan sesuatu
we re going to the theater	kami akan pergi ke teater
we ve done the best we can	kami telah melakukan yang terbaik yang kami bisa
we ve got very little time	waktu kita sangat sedikit
weapons are forbidden here	di sini senjata dilarang
what are you going to play	apa yang akan kamu mainkan
what are you talking about	apa yang sedang kamu bicarakan
what are you worried about	apa yang sedang kamu khawatirkan
what color car did you buy	mobil berwarna apa yang kamu beli
what color car did you buy	mobil warna apa yang kamu beli
what kind of stone is this	batu apa sih ini
what on earth is happening	apa yang sedang terjadi
what s always on your mind	apa yang selalu membuatmu khawatir
what s in fashion in paris	apa yang sedang mengetren di paris
what s the matter with you	ada apa denganmu
what s your favorite sport	apa olahraga favoritmu
what s your marital status	apa status perkawinanmu
when do you have breakfast	kapan kamu sarapan
when will you be back home	kapan kamu pulang ke rumah
where are you going anyway	memangnya kamu mau pergi ke mana
where did you buy that bag	tas itu kamu beli di mana
where did you find the key	di mana kamu menemukan kunci itu
where did you get this key	di mana kamu mendapatkan kunci ini
where did you learn french	di mana anda belajar bahasa prancis
where does your uncle live	di mana pamanmu tinggal
where is the train station	stasiun kereta ada di mana
where is the train station	ada di mana stasiun kereta apinya
where is the train station	stasiun kereta apinya di mana
where would you like to go	kau ingin pergi ke mana
where would you like to go	anda ingin pergi ke mana
who is taller tom or mary	siapa yang lebih tinggi tom atau mary
who is your favorite actor	siapa aktor favoritmu
who s your favorite writer	penulis favoritmu siapa
why are we going to boston	kenapa kita pergi ke boston
why are you looking so sad	mengapa kamu terlihat begitu sedih
why are you so tired today	kenapa kau sangat lelah hari ini
why can t we live together	kenapa kita tidak bisa tinggal bersama
why don t you have a party	bagaimana kalau mengadakan pesta
why don t you learn french	mengapa kamu tidak belajar bahasa prancis
why should i listen to you	mengapa saya harus mendengarkan anda
would you please step back	bisakah anda mundur ke belakang
would you say it once more	maukah kau mengatakannya sekali lagi
wow it s been a long time	wow sudah sekian lama
you and i are good friends	kau dan aku adalah sahabat
you are always complaining	kamu selalu saja mengeluh
you are always watching tv	kamu selalu menonton tv
you are deceiving yourself	kamu sedang menipu dirimu sendiri
you can depend on his help	kamu bisa mengandalkan bantuannya
you can smoke in this room	kamu boleh merokok di ruangan ini
you did what you had to do	kamu telah melakukan apa yang harus kamu lakukan
you don t need to go there	kamu tidak perlu pergi ke sana
you don t smile very often	kamu tidak terlalu sering tersenyum
you either win or you lose	antara kamu menang atau kalah
you haven t changed at all	kau tidak berubah sama sekali
you haven t changed at all	kamu belum berubah sama sekali
you lied to me didn t you	kau berbohong kan
you look like an orangutan	kamu terlihat seperti orangutan
you make me feel so guilty	kamu membuatku merasa sangat bersalah
you must fulfill your duty	kau harus memenuhi kewajibanmu
you must keep your promise	kamu harus menetapkan janjimu
you must perform your duty	kau harus melaksanakan tugasmu
you should be more careful	kau harus lebih berhati hati
you were late weren t you	kamu terlambat kan
you d better not wait here	kamu sebaiknya tidak menunggu di sini
you re not a child anymore	kamu bukan anak anak lagi
you re not a child anymore	kamu bukan anak kecil lagi
you re wanted on the phone	ada telepon
your work is below average	pekerjaanmu di bawah rata rata
and are odd numbers	dan adalah bilangan ganjil
a fire broke out that night	pada malam itu terjadi sebuah kebakaran
apples are scarce this year	buah apel sedang langka tahun ini
are there any other options	apakah ada pilihan lain
are we going to attack them	anda tidak perlu mengatakan apa apa lagi
ask someone else besides me	tanya orang lain selain aku
blood is thicker than water	darah lebih kental dari air
blood is thicker than water	condong puar ke uratnya condong manusia kepada bangsanya
blood is thicker than water	masin lagilah garam sendiri
books are made out of paper	buku terbuat dari kertas
by the way how old are you	ngomong ngomong berapa umurmu
can i have something to eat	bolehkah saya meminta sesuatu untuk dimakan
can i take your word for it	bisakah aku memegang kata katamu
can you come back on monday	bisakah anda kembali pada hari senin
can you teach me how to fly	bisakah kamu mengajarkan aku terbang
children are not allowed in	anak anak tidak dibolehkan masuk
come the day after tomorrow	datanglah lusa
come to the party will you	datanglah ke pesta oke
could you sign here please	bisa tolong anda tanda tangan di sini
dad is coming home tomorrow	ayah akan pulang besok
did you buy anything to eat	apakah anda membeli sesuatu untuk dimakan
did you buy anything to eat	apa kau membeli sesuatu untuk dimakan
didn t anything else happen	apakah tidak ada hal lain yang terjadi
do you believe in astrology	apakah kamu percaya astrologi
do you believe in evolution	apa kau percaya pada evolusi
do you ever think about tom	pernahkah kamu memikirkan tentang tom
do you guys like white wine	apakah kalian suka anggur putih
do you have a granddaughter	apakah anda punya cucu perempuan
do you have any soft drinks	apakah kamu punya minuman ringan
do you have to do that too	apakah kamu harus melakukan itu juga
do you know tom s real name	apa kamu tahu nama asli tom
do you know what time it is	apa kamu tahu jam berapa sekarang
do you like indonesian food	apakah anda menyukai makanan indonesia
do you need a place to stay	apakah anda butuh tempat tinggal
do you want anything to eat	apa kau mau makan
do you want anything to eat	apa kau ingin makan sesuatu
do you want it gift wrapped	apa anda ingin ini dibungkus
do you want me to wait here	kamu ingin aku menunggu di sini
do you want to eat anything	apa kau ingin makan sesuatu
does tom like cheeseburgers	apakah tom suka burger keju
does tom like sci fi movies	apakah tom suka film fiksi ilmiah
dogs run faster than people	anjing berlari lebih cepat dari manusia
don t be like everyone else	jangan jadi seperti yang lain
don t be noisy in this room	jangan ribut di ruangan ini
don t eat too many hot dogs	jangan makan hot dog terlalu banyak
don t go stay here with me	jangan pergi tinggallah di sini bersamaku
don t make me go back there	jangan membuatku kembali ke sana
don t touch the blue button	jangan sentuh tombol biru
don t walk alone after dark	jangan berjalan seorang diri setelah hari menjadi gelap
earth is a beautiful planet	bumi adalah planet yang indah
everyone is waiting for you	semua orang menunggumu
everyone knows you re lying	semua orang tahu kamu berbohong
finally he lost his temper	akhirnya dia kehilangan kesabaran
first think and then speak	pikir dulu lalu ngomong
france is in western europe	perancis ada di eropa barat
have you ever been to japan	apakah kamu pernah ke jepang
have you ever donated blood	apa kau pernah mendonorkan darah
have you ever eaten insects	apakah anda pernah makan serangga
have you forgotten about me	apakah kau telah melupakanku
have you had dinner already	kamu sudah makan malam
have you had dinner already	apa kau sudah makan malam
have you washed the car yet	sudahkah kau mencuci mobilnya
have you washed the car yet	apa kau sudah mencuci mobilnya
he breathed his last breath	dia menghembuskan nafas terakhirnya
he did a very foolish thing	dia melakukan hal yang sangat bodoh
he didn t dare say anything	dia tidak berani berkata apa apa
he didn t dare say anything	dia tidak berani mengatakan apa pun
he does not watch tv at all	dia tidak menonton tv sama sekali
he doesn t care about money	dia tidak peduli dengan uang
he doesn t want you to know	dia tidak ingin kamu tahu
he feels a lot better today	dia merasa jauh lebih baik hari ini
he gave me his phone number	dia memberikan saya nomor teleponnya
he has one dog and six cats	dia punya seekor anjing dan enam ekor kucing
he has one dog and six cats	dia memiliki seekor anjing dan enam ekor kucing
he has very bad handwriting	tulisannya jelek sekali
he is busy writing a letter	dia sedang sibuk menulis surat
he is unfit to be a teacher	dia tidak layak menjadi guru
he pretended to be sleeping	dia pura pura tidur
he resigned from his office	ia berhenti dari pekerjaannya
he scarcely ever watches tv	dia jarang nonton tv
he studies american history	dia mempelajari sejarah amerika
he was caught by the police	dia telah ditangkap oleh polisi
he will come this afternoon	dia akan datang sore ini
his advice was very helpful	saran darinya sangat bermanfaat
how dangerous are ostriches	seberapa berbahayakah burung unta
how did dinner go yesterday	bagaimana makan malam kemarin
how long have you been gone	sudah berapa lama kamu pergi
how long will you stay here	berapa lama kau akan tinggal di sini
how many children are there	ada berapa anak di situ
how much did you guys spend	berapa banyak yang kalian habiskan
how much fabric did you buy	berapa banyak kain yang kau beli
how much time will you need	berapa banyak waktu yang kau butuhkan
how often do the buses come	seberapa sering busnya datang
how often does it rain here	seberapa sering hujan di sini
hurry up or you ll be late	cepat nanti terlambat
i am dying to see her again	aku benar benar rindu untuk bertemu dengannya lagi
i arrived in boston at	aku tiba di boston pukul
i bought a hat at the store	aku membeli topi di toko itu
i can t go abroad this year	aku tidak bisa pergi keluar negeri tahun ini
i can t pronounce that name	aku tidak bisa mengucapkan nama itu
i can t speak french at all	saya sama sekali tidak bisa berbahasa prancis
i can t stand it any longer	aku tidak mampu menahannya lebih lama lagi
i couldn t control my tears	aku tidak bisa mengendalikan air mataku
i couldn t possibly do that	aku tidak bisa melakukannya
i don t consider him honest	saya tidak menganggap dia jujur
i don t consider him honest	saya tidak menganggapnya jujur
i don t feel like going out	aku sedang malas pergi keluar
i don t know what tom wants	aku tidak tahu apa yang tom mau
i don t know what ll happen	aku tidak tahu apa yang akan terjadi
i don t know where he lives	saya tidak tahu di mana dia tinggal
i don t like to sit outside	aku tidak suka duduk di luar
i don t read the newspapers	aku tidak membaca koran
i don t use words like that	saya tidak menggunakan kata kata seperti itu
i doubt that tom will be in	saya ragu tom akan hadir
i drink coffee after dinner	saya minum kopi setelah makan malam
i expect you to be punctual	aku ingin kamu selalu tepat waktu
i forgot my wife s birthday	saya lupa ulang tahun istri saya
i forgot to lock the drawer	aku lupa mengunci lacinya
i guess i ve lived too long	aku rasa aku telah hidup terlalu lama
i have just finished eating	saya baru saja selesai makan
i have no knife to cut with	aku tidak punya pisau untuk memotongnya
i have nothing better to do	tidak ada hal lain yang bisa kulakukan
i haven t met him even once	aku tidak pernah sekalipun bertemu dengannya
i haven t spoken to anybody	saya belum bicara dengan siapa siapa
i invited them to the party	aku mengundang mereka ke pesta
i just did what i always do	aku hanya melakukan yang selalu kulakukan
i just don t have much time	aku cuma tidak punya banyak waktu
i know where you want to be	aku tahu di mana kau ingin berada
i like strawberry ice cream	aku suka es krim stroberi
i like to fish in the river	saya suka memancing di sungai
i never liked going fishing	saya tidak pernah suka memancing
i pushed tom into the water	saya mendorong tom kedalam air
i really do just want to go	aku benar benar cuma ingin pergi
i really shouldn t tell you	sungguh seharusnya aku tidak memberitahumu
i saw him crossing the road	aku melihat dia menyeberang jalan
i saw him crossing the road	aku melihatnya menyeberang jalan
i still think tom is guilty	saya masih berpikir tom bersalah
i think i know who did that	aku rasa aku tahu siapa yang melakukan itu
i think tom should eat more	aku rasa tom harus makan lebih banyak
i think it s very dangerous	aku pikir itu sangat berbahaya
i thought you could help me	aku kira kau bisa membantuku
i used to be afraid of dogs	dulu aku takut anjing
i usually go to bed at nine	aku biasanya pergi tidur jam sembilan
i want to ask you something	aku ingin menanyakan sesuatu padamu
i want to be as tall as tom	saya mau setinggi tom
i want to know what that is	aku ingin tahu apa itu
i want to know what s funny	saya penasaran apanya yang lucu
i want to speak to a lawyer	saya ingin berbicara dengan seorang pengacara
i want to study mathematics	saya ingin belajar matematika
i want you guys to meet tom	aku ingin kalian bertemu dengan tom
i was absent from the party	aku tidak hadir dalam pesta itu
i was born october	saya lahir pada tanggal oktober
i was starting to lose hope	aku mulai putus asa
i went to the zoo yesterday	aku pergi ke kebun binatang kemarin
i will get it back from tom	aku akan mengambilnya kembali dari tom
i wish we had your problems	masalah kami lebih buruk ketimbang masalah kalian
i wish you a happy birthday	aku ucapkan selamat ulang tahun
i wish you were close to me	aku harap kau berada dekat denganku
i wish you d told me before	andai saja kau memberitahuku sebelumnya
i won t ever eat here again	aku tidak akan pernah makan di sini lagi
i won t talk to him anymore	aku tidak akan berbicara dengannya lagi
i wonder what it feels like	aku penasaran bagaimana rasanya
i wonder why tom needs that	saya heran mengapa tom membutuhkannya
i wonder why nobody told me	saya heran kenapa tak seorang pun memberi tahu saya
i would rather stay at home	aku lebih memilih tinggal di rumah
i wrote a letter in english	saya menulis surat dalam bahasa inggris
i d like to know the reason	saya ingin tahu alasannya
i d like to see your father	aku ingin bertemu dengan ayahmu
i ll be back in three hours	saya akan kembali dalam tiga jam
i ll be back within an hour	aku akan kembali dalam waktu satu jam
i ll clean my room tomorrow	besok aku akan membersihkan kamarku
i ll get you another lawyer	aku akan mencarikanmu pengacara yang lain
i ll have to think about it	aku akan memikirkannya dulu
i ll never forget the sight	aku tidak akan pernah melupakan pemandangan itu
i m always surprised by him	dia selalu membuatku terkejut
i m curious about one thing	aku penasaran tentang satu hal
i m glad i was able to help	saya senang bisa membantu
i m going to hawaii by ship	aku pergi ke hawaii dengan kapal
i m going to go make dinner	aku akan membuat makan malam
i m going to propose to her	aku akan melamarnya
i m going to tell the truth	aku akan mengatakan kebenaran
i m going to tell the truth	saya akan mengatakan yang sebenarnya
i m just looking thank you	tidak terima kasih saya hanya melihat lihat saja
i m looking for another job	saya sedang mencari pekerjaan yang lain
i m more beautiful than you	aku lebih cantik darimu
i m not going to drink this	saya tidak akan minum ini
i m not here for a vacation	saya tidak berada di sini untuk berlibur
i m not here for a vacation	aku tidak di sini untuk liburan
i m not sure where to start	aku tidak tahu mulai dari mana
i m not used to the job yet	saya belum terbiasa dengan pekerjaan itu
i m pretty sure tom s lying	aku cukup yakin bahwa tom berbohong
i m really glad you re here	aku sangat senang kamu ada di sini
i m sorry to disappoint you	aku minta maaf sudah mengecewakanmu
i m taking a walk in a park	aku berjalan jalan di taman
i m the one that s to blame	akulah satu satunya yang bersalah
i m the one who got injured	sayalah yang terluka
i m very proud of my father	saya sangat bangga dengan ayah saya
i ve been waiting for hours	i telah menunggu beberapa jam
i ve caught a terrible cold	aku terkena flu berat
i ve climbed mt fuji twice	aku telah mendaki gunung fuji dua kali
i ve never climbed mt fuji	aku belum pernah mendaki gunung fuji
i ve updated the blog entry	aku sudah memperbarui entri blognya
if tom wants to go let him	jika tom ingin pergi biarkan dia
if tom wants to go let him	jika tom ingin pergi biarkan saja
in japan it s now a m	di jepang sekarang pagi
is something wrong with you	kamu kenapa
is there a cat on the table	apa ada kucing di atas meja
is this water okay to drink	apa air ini baik untuk diminum
it happened a long time ago	itu terjadi dahulu kala
it is more than i can stand	ini sudah diluar batas kemampuanku
it is nice to see you again	senang bertemu kamu lagi
it seems that tom was lying	kelihatannya tom berbohong
it takes courage to succeed	diperlukan keberanian untuk berhasil
it was tom who told me that	tom yang memberitahukan saya soal itu
it s an ecological disaster	ini adalah sebuah bencana ekologis
it s been snowing all night	salju turun sepanjanng malam
it s exactly what i thought	tepat seperti yang kupikirkan
it s not far from the hotel	itu tidak jauh dari hotel
it s only a ten minute walk	hanya sepuluh menitan berjalan kaki
it s six degrees below zero	enam derajat dibawah nol
it s very cold this evening	sore ini sangat dingin
leave the book where it was	tinggalkan buku di tempat asalnya
let me give you some advice	aku akan memberimu sedikit nasihat
let us know where you ll be	beritahu kami di mana kamu berada
let your hair down a little	santai saja tidak usah khawatir
let s go back to the office	mari kembali ke kantor
let s meet again in october	mari bertemu lagi pada bulan oktober
let s talk over a cold beer	mari kita mengobrol sambil minum bir dingin
lincoln set the slaves free	lincoln membebaskan para budak itu
lincoln set the slaves free	lincoln membebaskan para budak
linux can be hacked as well	linux juga bisa diretas
mary is tom s sister in law	mary adalah saudara ipar tom
maybe i shouldn t stay here	mungkin seharusnya aku tidak menetap di sini
maybe tom shouldn t be here	mungkin tom seharusnya tidak berada di sini
maybe what you said is true	mungkin yang kamu katakan itu benar
milk gives me a stomachache	susu membuatku sakit perut
most people think i m crazy	banyak orang mengira aku gila
my blood type is a positive	golongan darah saya adalah a positif
my children go to bed early	anak anakku tidur lebih cepat
my daughter likes egg yolks	anak perempuanku suka kuning telur
my favorite color is orange	warna favorit saya adalah jingga
my favorite color is orange	warna kesukaanku adalah oranye
my favorite sport is skiing	olahraga favoritku adalah bermain ski
my grandfather was a farmer	kakekku dulunya adalah seorang petani
my hair started falling out	rambut saya mulai rontok
my hobby is writing stories	hobiku menulis cerita
my house faces to the south	rumahku menghadap selatan
my mother has four brothers	ibuku memiliki saudara laki laki
my schedule is rather tight	jadwalku lumayan padat
no one knows where he lives	tidak ada yang tahu dia tinggal di mana
no one wants that to happen	tidak ada yang ingin itu terjadi
nobody knows where he lives	tidak ada yang tahu dia tinggal di mana
nobody wants that to happen	tidak ada yang ingin itu terjadi
not all policemen are brave	tidak semua polisi itu pemberani
open your book to page nine	buka bukumu ke halaman sembilan
our flight has been delayed	penerbangan kami telah ditunda
our flight has been delayed	penerbangan kita tertunda
parties can be a lot of fun	pesta bisa jadi sangat menyenangkan
perhaps tom is in australia	mungkin tom di australia
perhaps he missed the train	mungkin dia tadi ketinggalan kereta
please don t be angry at me	tolong jangan marah padaku
please don t make fun of me	tolong jangan permainkan saya
please don t touch anything	tolong jangan sentuh apa pun
please tell me your address	tolong beritahukan alamat anda
pollution can be controlled	polusi bisa dikontrol
pollution can be controlled	pencemaran bisa dikendalikan
rice grows in warm climates	padi tumbuh di iklim yang hangat
say goodbye to your friends	pamitlah pada teman temanmu
see what the problem is ok	lihatlah permasalahannya oke
she allowed him to go alone	ia membolehkannya pergi sendirian
she didn t tell me her name	dia tidak memberitahuku namanya
she disappeared in the dark	dia menghilang dalam kegelapan
she is really a good singer	dia benar benar penyanyi yang baik
she looked at me and smiled	dia melihatku dan tersenyum
she smiled and said goodbye	dia tersenyum dan mengatakan selamat tinggal
she was my first girlfriend	dia pacar pertamaku
she was robbed of her purse	dompetnya dicuri
smoking in bed is dangerous	merokok di tempat tidur itu berbahaya
something leaked in the bag	ada yang bocor di dalam tas
sometimes that just happens	terkadang itu terjadi
tennis is my favorite sport	tenis adalah olahraga kesukaanku
thank you for your interest	terima kasih atas ketertarikan anda
thanks for your quick reply	terima kasih telah membalasnya dengan cepat
that book isn t interesting	buku itu tidak menarik
that isn t our only problem	itu bukan satu satunya masalah kita
that looks suspicious to me	itu tampak mencurigakan bagiku
that statement is incorrect	pernyataan itu tidak benar
that store sells men s wear	toko itu menjual pakaian pria
that was a beautiful speech	itu adalah pidato yang indah
that s not what i asked you	bukan itu yang saya tanyakan kepada anda
that s not what i asked you	bukan itu yang aku tanyakan kepadamu
that s the only possibility	hanya itu kemungkinannya
that s what i m looking for	itu yang sedang kucari
the jacksons live in boston	keluarga jackson tinggal di boston
the audience appeared bored	penonton tersebut nampak bosan
the audience appeared bored	para hadirin nampak bosan
the bathroom door is locked	pintu kamar mandi terkunci
the fish tasted like salmon	ikan itu rasanya seperti salmon
the following tips can help	tips berikut dapat membantu
the gate is closed at eight	gerbangnya ditutup jam delapan
the guests will arrive soon	para tamu akan segera tiba
the ice is two inches thick	es ini tebalnya dua inci
the island is warm all year	pulau itu hangat sepanjang tahun
the library wasn t open yet	perpustakaannya belum buka
the medicine made me sleepy	obat itu membuatku mengantuk
the meeting begins at three	rapatnya akan dimulai pada pukul tiga
the meeting was almost over	rapatnya sudah hampir selesai
the roof of my house is red	atap rumahku merah
the sky has become overcast	langitnya menjadi mendung
the taxi is waiting outside	taksi itu menunggu di luar
the television doesn t work	televisi tidak berfungsi
the test result is negative	hasil tesnya negatif
the work was very difficult	pekerjaan itu sangat sulit
their flag is blue and gold	bendera mereka berwarna biru dan emas
there are many pagodas here	ada banyak pagoda di sini
there are no canadians here	tidak ada orang kanada di sini
there is no place like home	hujan emas di negeri orang hujan batu di negeri sendiri baik jua di negeri sendiri
there s a rat in the garage	ada tikus di garasi
there s someone in the hall	ada seseorang di aula
they died one after another	mereka mati satu per satu
they grind wheat into flour	mereka menggiling gandum menjadi tepung
they left one after another	mereka pergi satu per satu
they painted their toenails	mereka mengecat kuku kaki mereka
they still haven t woken up	mereka masih belum bangun
they were caught red handed	mereka tertangkap basah
this bottle holds one liter	botol ini memuat satu liter
this flag is very beautiful	bendera ini sangat indah
this flag is very beautiful	bendera ini cantik sekali
this house is scorpion free	rumah ini bebas kalajengking
this is all very disturbing	semua ini sangat menganggu
this method is sure to work	metode ini pasti bekerja
this room has three windows	ada tiga jendela di ruangan ini
this room is not very large	ruangan ini tidak terlalu besar
this room will soon heat up	ruangan ini akan segera menjadi lebih hangat
this rose is very beautiful	mawar ini sangat indah
this song reminds me of tom	lagu ini mengingatkanku pada tom
this water is safe to drink	air ini aman diminum
to love life is to love god	mencintai kehidupan adalah mencintai tuhan
tom and i both like sailing	tom dan aku sama sama suka berlayar
tom and i explored the cave	tom dan aku menjelajahi gua itu
tom asks too many questions	tom terlalu banyak bertanya
tom decided to quit smoking	tom memutuskan untuk berhenti merokok
tom did most of the talking	tom yang paling banyak berbicara
